node	category	Primary Publisher	Primary Developer
Simulation Racing2	feature	.	.
Vehicular Simulation2	feature	.	.
Role Playing Games2	feature	.	.
Action RPG2	feature	.	.
Classic RPG2	feature	.	.
Collectible Battle RPG2	feature	.	.
Strategy RPG2	feature	.	.
Shooter2	feature	.	.
General Shooter2	feature	.	.
First Person Shooter2	feature	.	.
Tactical Shooter2	feature	.	.
Third Person Shooter2	feature	.	.
Hunting2	feature	.	.
Rail Shooter2	feature	.	.
Vehicular Shooter2	feature	.	.
Simulation2	feature	.	.
City Builder / Resource Management2	feature	.	.
Hospitality & Entertainment2	feature	.	.
Metropolitan & Settlement2	feature	.	.
Role Simulation2	feature	.	.
Occupational Simulation2	feature	.	.
Relationship / Dating Simulation2	feature	.	.
Social / Survival Simulation2	feature	.	.
Skill & Chance2	feature	.	.
Skill & Chance (Non-Casino)2	feature	.	.
Board Games (Non-Military)2	feature	.	.
Card Game (Non-Casino)2	feature	.	.
Tile Games2	feature	.	.
Sports2	feature	.	.
Sports Simulation2	feature	.	.
Major Sports3	feature	.	.
Baseball3	feature	.	.
Football3	feature	.	.
Soccer3	feature	.	.
Minor Sports3	feature	.	.
Equestrian2	feature	.	.
Fictional Sports2	feature	.	.
Fishing2	feature	.	.
Frisbee Sports2	feature	.	.
Golf / Mini-Golf2	feature	.	.
Extreme Sports3	feature	.	.
Bicycle / BMX2	feature	.	.
Jet Skiing2	feature	.	.
Motocross2	feature	.	.
Quad/ATV2	feature	.	.
Skiing2	feature	.	.
Sky-Diving2	feature	.	.
Snowmobile2	feature	.	.
Strategy2	feature	.	.
General Strategy2	feature	.	.
Real Time Strategy2	feature	.	.
Turn Based Strategy2	feature	.	.
Multiplayer Online Battle Arena (MOBA)2	feature	.	.
Tower Defense2	feature	.	.
Trading Card Game2	feature	.	.
Application2	feature	.	.
Non-Gaming Application2	feature	.	.
Educational2	feature	.	.
Music Composition2	feature	.	.
Co-Op Gameplay Capability	feature	.	.
Co-Op Multiplayer Capability	feature	.	.
Co-Op Campaign	feature	.	.
Co-Op Non-Campaign	feature	.	.
Co-Op Survival	feature	.	.
Co-Op Objective / Mission / Level	feature	.	.
MMO	feature	.	.
Co-Op Gameplay Connectivity	feature	.	.
Online Co-Op	feature	.	.
Offline Co-Op	feature	.	.
No Co-Op Capabilities	feature	.	.
Multiplayer Capability	feature	.	.
Online Multiplayer Capability	feature	.	.
Game Has Online Skirmish Mulitiplayer	feature	.	.
Maximum Quantity of Users in an Online Skirmish Game	feature	.	.
Game Has Online Co-Op Multiplayer	feature	.	.
Maximum Quantity of Users in an Online Co-Op Campaign Game	feature	.	.
Maximum Quantity of Users in an Online Co-Op Non-Campaign Game	feature	.	.
Offline Multiplayer Capability	feature	.	.
Game Has Offline Skirmish Multiplayer	feature	.	.
Maximum Quantity of Users in an Offline Skirmish Game	feature	.	.
Game Has Offline Co-Op Multiplayer	feature	.	.
Maximum Quantity of Users in an Offline Co-Op Campaign Game	feature	.	.
Maximum Quantity of Users in an Offline Co-Op Non-Campaign Game	feature	.	.
No Multiplayer Capabilities	feature	.	.
Multiplayer Information	feature	.	.
Multiplayer Team Types	feature	.	.
Team (Symmetrical)	feature	.	.
Team (Asymmetrical)	feature	.	.
No Teams	feature	.	.
Head to Head3	feature	.	.
Open World Multiplayer	feature	.	.
Open World PvP Multiplayer	feature	.	.
Open World PvE Multiplayer	feature	.	.
Split-Screen Multiplayer	feature	.	.
Offline Split-Screen Multiplayer	feature	.	.
Existing IP	feature	.	.
New IP	feature	.	.
Existing IP2	feature	.	.
New IP2	feature	.	.
Characters	feature	.	.
New Characters	feature	.	.
Characters are Based on Brand	feature	.	.
Comic Book / Comic Book Studio	feature	.	.
Console	feature	.	.
Food / Restaurant	feature	.	.
Game (Non-Video Game)	feature	.	.
Governmental Branch	feature	.	.
Literary Work	feature	.	.
Movie	feature	.	.
Musical Group / Artist	feature	.	.
Sports / Athletes / Sporting Goods / Event	feature	.	.
Television Program / Series	feature	.	.
Tourist Attraction	feature	.	.
Toy Line / Manufacturer	feature	.	.
Vehicle / Vehicle Manufacturer	feature	.	.
Video Game	feature	.	.
Video Game (Cross Branded)	feature	.	.
Web Media (Modifier)	feature	.	.
Other	feature	.	.
Title is Unique	feature	.	.
Title is Based on Brand	feature	.	.
Comic Book / Comic Book Studio2	feature	.	.
Celebrity	feature	.	.
Console2	feature	.	.
Food / Restaurant2	feature	.	.
Game (Non-Video Game)2	feature	.	.
Governmental Branch2	feature	.	.
Literary Work2	feature	.	.
Movie2	feature	.	.
Musical Group / Artist2	feature	.	.
Sports / Athletes / Sporting Goods / Event2	feature	.	.
Studio	feature	.	.
Television Program / Series2	feature	.	.
Tourist Attractions	feature	.	.
Toy Line / Manufacturer2	feature	.	.
Vehicle / Vehicle Manufacturer2	feature	.	.
Video Game2	feature	.	.
Video Game Company	feature	.	.
Web Media	feature	.	.
Other2	feature	.	.
Magic Presence	feature	.	.
Supernatural Presence	feature	.	.
No Paranormal Presence	feature	.	.
Ancient Technology	feature	.	.
Middle Ages Technology (5th - 15th Century)	feature	.	.
Renaissance Technology (14th - 16th Century)	feature	.	.
Industrial Revolution Technology (17th - 19th Century)	feature	.	.
World War I - World War II Technology	feature	.	.
Modern Technology	feature	.	.
Near Future Technology	feature	.	.
Science Fiction Technology	feature	.	.
No Discernible Technology	feature	.	.
Prehistoric	feature	.	.
Age of Antiquity (Iron Age - 4th Century)	feature	.	.
Middle Ages (5th - 15th Century)	feature	.	.
Early Modern (14th - 18th Century)	feature	.	.
Mid Modern (18th - 19th Century)	feature	.	.
Modern (20th Century)	feature	.	.
Current	feature	.	.
Future Earth	feature	.	.
Post-Apocalyptic	feature	.	.
Alternate History	feature	.	.
Alternate World (Not Earth)	feature	.	.
Not Applicable	feature	.	.
Temporal Progression	feature	.	.
Art Characteristics	feature	.	.
Black Line	feature	.	.
Cartoony	feature	.	.
Cel-Shaded	feature	.	.
Full Motion Video (FMV)	feature	.	.
Gritty	feature	.	.
Manga / Anime	feature	.	.
Minimalist	feature	.	.
Painterly	feature	.	.
Pre-Rendered Backgrounds	feature	.	.
Realism	feature	.	.
Retro	feature	.	.
Rotoscope / Digitized Graphics	feature	.	.
Text	feature	.	.
Vector	feature	.	.
Voxel	feature	.	.
Western Illustration	feature	.	.
No Distinct Art Characteristic	feature	.	.
Adventure	feature	.	.
Comedy	feature	.	.
Crime	feature	.	.
Erotica	feature	.	.
Espionage / Spy	feature	.	.
Fantasy	feature	.	.
Horror	feature	.	.
Martial Arts	feature	.	.
Mystery & Suspense	feature	.	.
Romance	feature	.	.
Science Fiction	feature	.	.
Sports3	feature	.	.
Super Hero	feature	.	.
War	feature	.	.
Western	feature	.	.
No Literary Genre	feature	.	.
No Distinct Literary Genre	feature	.	.
Aliens	feature	.	.
Dinosaurs	feature	.	.
Dragons	feature	.	.
Ghosts	feature	.	.
Mecha	feature	.	.
Mummies	feature	.	.
Nazis	feature	.	.
Ninjas	feature	.	.
Pirates	feature	.	.
Samurai	feature	.	.
Vampires	feature	.	.
Werewolves	feature	.	.
Witches	feature	.	.
Zombies	feature	.	.
No Pop Culture Presence	feature	.	.
Male	feature	.	.
Female	feature	.	.
Not Discernable	feature	.	.
Avatar(s) Used	feature	.	.
Animal	feature	.	.
Botanical (Non-Humanoid)	feature	.	.
Creature / Monster	feature	.	.
Geometric Shape	feature	.	.
Person	feature	.	.
Person: Human	feature	.	.
Person: Humanoid	feature	.	.
Platform Specific Avatar	feature	.	.
Robot	feature	.	.
Structure/Building	feature	.	.
Token / Game Piece	feature	.	.
Undead Entity	feature	.	.
User Generated	feature	.	.
Vehicle	feature	.	.
Vehicle: Aircraft	feature	.	.
Vehicle: Automobile / Ground Vehicle	feature	.	.
Vehicle: Cycle	feature	.	.
Vehicle: Mech	feature	.	.
Vehicle: Seacraft	feature	.	.
Vehicle: Spacecraft	feature	.	.
Vehicle: Sports Board	feature	.	.
First Party	feature	.	.
Third Party	feature	.	.
Original Product	feature	.	.
Sequel Product	feature	.	.
Re-Released Product	feature	.	.
Original Release Year	feature	.	.
Enhanced Remake	feature	.	.
Original Release Year2	feature	.	.
Display Resolution	feature	.	.
VR Support	feature	.	.
Input Device(s)	feature	.	.
Required Input Devices	feature	.	.
Controller	feature	.	.
Microphone	feature	.	.
Microsoft Kinect	feature	.	.
PlayStation Camera	feature	.	.
Sony Move Devices	feature	.	.
Motion Controller	feature	.	.
Navigation Controller	feature	.	.
Virtual Reality Headset	feature	.	.
HTC Vive	feature	.	.
Oculus Rift	feature	.	.
OSVR Supported HMD	feature	.	.
PlayStation VR	feature	.	.
Supported Optional Input Devices	feature	.	.
Controller2	feature	.	.
Microphone2	feature	.	.
PlayStation Camera2	feature	.	.
Sony Move Devices2	feature	.	.
Motion Controller2	feature	.	.
Navigation Controller2	feature	.	.
Virtual Reality Headset2	feature	.	.
Gear VR2	feature	.	.
HTC Vive2	feature	.	.
Oculus Rift2	feature	.	.
OSVR Supported HMD2	feature	.	.
PlayStation VR2	feature	.	.
 Vector	game	Optical Override	Optical Override
#IDARB	game	Other Ocean Interactive	Other Ocean Interactive
#KillAllZombies	game	Digerati Distribution & Marketing	Beatshapers
'Splosion Man	game	Microsoft Studios	Twisted Pixel
'n Verlore Verstand	game	Skobbejak Games	Skobbejak Games
1 Vs 1	game	Blaiz Entertainment	Blaiz Entertainment
1-2-Switch	game	Nintendo Co., Ltd.	Nintendo Co., Ltd.
10 Second Ninja X	game	Curve Digital	Four Circle Interactive
1000 Top Rated	game	Top Rated	Top Rated
1001 Spikes	game	Nicalis, Inc.	Nicalis, Inc.
100ft Robot Golf	game	No Goblin	No Goblin
101 Ways to Die	game	Vision Games Publishing	4 Door Lemon
140	game	Double Fine	Carlsen Games
1942	game	Capcom (WW HQ)	Capcom (WW HQ)
1943: The Battle of Midway	game	Capcom (WW HQ)	Capcom (WW HQ)
1982	game	The Game Creators, Ltd.	Binary Zoo
1bitHeart	game	AGM Playism	Miwashiba
20XX	game	Batterystaple Games	Batterystaple Games
2Dark	game	Bigben Interactive S.A. (Games)	Gloomywood
3 on 3 FreeStyle	game	JOYCITY	JOYCITY
3..2..1..Grenades	game	Banyango	Banyango
3030 Deathwar Redux	game	Crunchy Leaf Games	Bird in Sky
36 Fragments of Midnight	game	Ratalaika Games S.L.	Ratalaika Games S.L.
3D Hardcore Cube	game	Hardcore Studio	Laush Dmitriy Sergeevich
3D MiniGolf	game	Joindots GmbH	Z-Software GmbH
3D MiniGolf (2015)	game	Rokapublish GmbH	Z-Software GmbH
3D Ultra Minigolf Adventures	game	Activision	Wanako Games
3DMark (Application)	game	Futuremark Games Studio	Futuremark Games Studio
405 Road Rage	game	Lucid Sight, Inc	Lucid Sight, Inc
5 Star Rio Resort	game	Rokapublish GmbH	Rokapublish GmbH
6180: The Moon	game	Turtle Cream	Turtle Cream
7 Days to Die	game	The Fun Pimps	The Fun Pimps
80.08	game	CloudScapeGT	CloudScapeGT
88 Fortunes: New Casino Slots	game	Phantom EFX	Scientific Games Interactive
88 Heroes	game	Rising Star Games	Bitmap Bureau
88 Heroes: 98 Heroes Edition	game	Rising Star Games	Bitmap Bureau
8DAYS	game	Badland Games S.L.	Santa Clara Games
999: Nine Hours, Nine Persons, Nine Doors	game	Aksys Games	Spike Chunsoft Co., Ltd.
99Vidas	game	QUByte Interactive	QUByte Interactive
9th Dawn	game	Valorware	Valorware
A Bastard's Tale	game	No Pest Productions	No Pest Productions
A Bloody Night	game	Emanuele Leoncilli	Emanuele Leoncilli
A Boy and His Blob	game	Midnight City	WayForward Technologies, Inc.
A Chair in a Room: Greenwater	game	Wolf & Wood Interactive Ltd	Wolf & Wood Interactive Ltd
A Duel Hand Disaster: Trackher	game	Ask An Enemy Studios	Ask An Enemy Studios
A Hat in Time	game	Gears for Breakfast	Gears for Breakfast
A Healer Only Lives Twice	game	Mediascape Co.	PonPon Games
A Hole New World	game	MadGearGames	MadGearGames
A King's Tale: Final Fantasy XV	game	Square Enix Co., Ltd. (WW)	Square Enix Co., Ltd. (WW)
A Kingdom for Keflings	game	Microsoft Studios	NinjaBee
A Mazeing Tower Defense	game	Oliver Peat	Oliver Peat
A Mortician's Tale	game	Laundry Bear Games	Laundry Bear Games
A New World: Kingdoms	game	Red Phoenix Studios	Red Phoenix Studios
A Pixel Story	game	Rising Star Games	Lamplight Studios
A Robot Named Fight!	game	Matt Bitner Games	Matt Bitner Games
A Rose in the Twilight	game	NIS America	Nippon Ichi Software, Inc.
A Walk in the Dark	game	Flying Turtle Software	Flying Turtle Software
A War Story	game	Maruf ARTUKOĞLU	Partical Studios
A World of Keflings	game	NinjaBee	NinjaBee
A-Calc Pro+ (Application)	game	PiTi	PiTi
A-Jax [Arcade Archives]	game	Hamster Corporation	Hamster Corporation
ABC News (Application)	game	ABC News	ABC News
ABClock Tiles (Application)	game	Adri Geerts	Adri Geerts
ABZU	game	505 Games	Giant Squid Studios
ACC Digital Network (Application)	game	Silver Chalice Ventures	Silver Chalice Ventures
ACE Academy	game	PixelFade Inc.	PixelFade Inc.
AFL Evolution	game	Home Entertainment Suppliers	Wicked Witch Software
AIPD	game	mamor games	Blazing Badger Games
AIPD: Artificial Intelligence Police Department	game	mamor games	Blazing Badger Games
AMC (Application)	game	AMC	AMC
AOL On (Application)	game	AOL Inc.	AOL Inc.
APA Generator Lite (Application)	game	Jonathan Gillman	Jonathan Gillman
APB: Reloaded	game	Deep Silver Inc.	Reloaded Productions Inc.
ARK: Survival Evolved	game	Studio Wildcard	Studio Wildcard
ARK: Survival Of The Fittest	game	Studio Wildcard	Studio Wildcard
ARMS	game	Nintendo Co., Ltd.	Nintendo Co., Ltd.
ASTA: The War of Tears and Winds	game	Move Games	POLYGON GAMES
AT&T U-Verse (Application)	game	AT&T Labs	AT&T Labs
ATV: Renegades	game	Nighthawk Interactive LLC	Nighthawk Interactive LLC
Aaero	game	Reverb Publishing	Mad Fellows
Aaru's Awakening	game	Lumenox Games	Lumenox Games
Ablepsia	game	NedoStudio	NedoStudio
Absolute Drift: Zen Edition	game	Funselektor Labs Inc.	Funselektor Labs Inc.
Absolver	game	Devolver Digital	Sloclap
Abyss Odyssey: Extended Dream Edition	game	Atlus Co. Ltd.	ACE Team
Abyss: The Wraiths of Eden	game	Artifex Mundi	Artifex Mundi
Academia : School Simulator	game	Squeaky Wheel Studio	Squeaky Wheel Studio
Accel World VS Sword Art Online	game	Bandai Namco Entertainment Inc. (WW)	Artdink
AccuWeather (Application)	game	AccuWeather	AccuWeather
Ace Banana	game	Oasis Games	Oasis Games
Aces of the Luftwaffe	game	Handy Games	Handy Games
Achievement Hunter: Pharaoh	game	putilin_industries	putilin_industries
Achievement Hunter: Urban 2	game	putilin_industries	putilin_industries
Acorn Assault: Rodent Revolution	game	High Tale Studios	High Tale Studios
Across The Moment	game	Andrei Romanov	Andrei Romanov
Act It Out!: A Game of Charades	game	Snap Finger Click Ltd	Snap Finger Click Ltd
Action Henk	game	RageSquid	RageSquid
Active Soccer 2: DX	game	The Fox Software	The Fox Software
AdVenture Capitalist	game	Hyper Hippo Productions	Hyper Hippo Productions
Adam's Venture: Origins	game	SOEDESCO	Vertigo Games
Adios: Amazing Discoveries in Outer Space	game	Cosmic Picnic	Cosmic Picnic
Adjacency	game	sleepy macaw	sleepy macaw
Adr1ft	game	505 Games	THREE ONE ZERO
Adventure Craft	game	Edible Entertainment	Edible Entertainment
Adventure Pop	game	505 Games	505 Games
Adventure Rage	game	Digital Mistake	Digital Mistake
Adventure Time: Finn & Jake Investigations	game	Little Orbit	Vicious Cycle Software, Inc.
Adventure Time: The Secret of the Nameless Kingdom	game	Little Orbit	WayForward Technologies, Inc.
Adventures of Pip	game	Tic Toc Games	Tic Toc Games
Aegis Wing	game	Microsoft Studios	Microsoft Studios
Aegis of Earth: Protonovus Assault	game	Aksys Games	ACQUIRE Corp.
Aeon	game	Illusion Ranger	Illusion Ranger
Aer: Memories of Old	game	Daedalic Entertainment GmbH	Forgotten Key
AereA	game	SOEDESCO Publishing	Triangle Studios
Aerial Destruction	game	Devdan Games	Devdan Games
Aero Fighters 2 [Arcade Archives]	game	Hamster Corporation	SNK Playmore
AeternoBlade	game	Corecell Technology Co., Ltd.	Corecell Technology Co., Ltd.
African Adventures [Cabela's]	game	Activision	FUN labs
Afro Samurai 2: Revenge of Kuma	game	Versus Evil	Redacted Studios LLC
Afro Samurai 2: Revenge of Kuma: Volume 1	game	Versus Evil	Redacted Studios LLC
Afterglow Configuration App (Application)	game	Performance Design Products (Accessories)	Performance Design Products (Accessories)
Aftermath Y2K	game	Matthew Willis	Matthew Willis
Age of Booty	game	Capcom (WW HQ)	Certain Affinity
Age of Fear 3: The Legend	game	Leszek Sliwko	Leszek Sliwko
Age of Gladiators II	game	Creative Storm Entertainment	Creative Storm Entertainment
Agents of Mayhem	game	Deep Silver Inc.	Deep Silver Volition
Aggressors of Dark Kombat	game	SNK Playmore	SNK Playmore
Air Conflicts: Pacific Carriers: PlayStation 4 Edition	game	Kalypso Media GmbH	Games Farm
Air Conflicts: Secret Wars	game	Nighthawk Interactive LLC	Games Farm
Air Conflicts: Vietnam: Ultimate Edition	game	bitComposer Entertainment AG	bitComposer Entertainment AG
Air Force Special Ops: Nightfall	game	Sony Interactive Entertainment Inc.	Sony Interactive Entertainment Inc.
Air Guitar Warrior for Kinect	game	Virtual Air Guitar Company	Virtual Air Guitar Company
Air Guitar Warrior: Gamepad Edition	game	Virtual Air Guitar Company	Virtual Air Guitar Company
Air Missions: HIND	game	3Division	3Division
Air Raid Siren (Application)	game	Ape Apps	Ape Apps
AirMech: Arena	game	Ubisoft Entertainment SA (WW HQ)	Carbon Games
AirMech: Command	game	Carbon Games	Carbon Games
AirServer (Application)	game	App Dynamic	App Dynamic
Airmen	game	Airborne Games	Airborne Games
Airport CEO	game	Apoapsis Studios	Apoapsis Studios
Akiba's Beat	game	Marvelous USA, Inc.	ACQUIRE Corp.
Akiba's Trip: Undead & Undressed	game	Marvelous USA, Inc.	ACQUIRE Corp.
Alan Wake	game	Microsoft Studios	Remedy Entertainment
Alan Wake's: American Nightmare	game	Microsoft Studios	Remedy Entertainment
Alaskan Adventures [Cabela's]	game	Activision Publishing Minneapolis, Inc.	FUN labs
Albedo: Eyes from Outer Space	game	Merge Games	Z4G0 and Ivan Venturi Productions
Alchemic Jousts	game	Lunatic Pixels	Lunatic Pixels
Alekhine's Gun	game	Maximum Games	Maximum Games
Alice: Madness Returns [American McGee's]	game	Electronic Arts, Inc. (HQ)	Spicy Horse
Alien Hallway 2	game	Sigma Team	Sigma Team
Alien Hominid HD	game	Behemoth, The	Behemoth, The
Alien Shooter	game	8Floor Ltd	8Floor Ltd
Alien: Isolation	game	Sega Corporation (WW)	Creative Assembly
Alienation	game	Sony Interactive Entertainment Worldwide Studios	Housemarque Inc.
Aliens In The Yard	game	Fair Games Studio	Fair Games Studio
All Evil Night	game	Mikhail Ramanouski	Mikhail Ramanouski
Allumette (Application)	game	Penrose Studios	Penrose Studios
Alone With You	game	Benjamin Rivers Inc.	Benjamin Rivers Inc.
Alpha Mission II [Arcade Archives]	game	Hamster Corporation	SNK Playmore
Altered Beast	game	Sega Corporation (WW)	Backbone Entertainment
Alteric	game	goonswarm	goonswarm
Alvora Tactics	game	Rad Codex	Rad Codex
Always Sometimes Monsters	game	Vagabond Dog	Vagabond Dog
Amazing Princess Sarah	game	Haruneko Entertainment	Haruneko Entertainment
Amazon Video (Application)	game	Amazon	Amazon
Ambre	game	Träumendes Mädchen	Träumendes Mädchen
America's Army: Proving Grounds	game	Army Game Studio	Army Game Studio
American Radio (Application)	game	Igears Technology Limited	Igears Technology Limited
American Truck Simulator	game	SCS Software	SCS Software
American VR Coasters (Application)	game	Funny Twins	Funny Twins
Amnesia: A Machine For Pigs	game	Frictional Games	thechineseroom
Amnesia: The Dark Descent	game	Frictional Games	Frictional Games
Among The Sleep	game	Krillbite Studio	Krillbite Studio
Among the Sleep	game	Krillbite Studio	Krillbite Studio
Amplitude	game	Harmonix	Harmonix
Amplitude: A Visual Novel	game	Ceylon Entertainment	Ceylon Entertainment
Anarcute	game	Anarteam	Anarteam
Ancient Amuletor	game	Time of Virtual Reality	Time of Virtual Reality
Ancient Frontier	game	Fair Weather Studios	Fair Weather Studios
Ancient Go	game	Hart Laboratories LLC	Hart Laboratories LLC
Angry Birds Match	game	Rovio Entertainment Ltd.	Rovio Entertainment Ltd.
Angry Birds: Star Wars	game	Activision	Rovio Entertainment Ltd.
Anima: Gate of Memories	game	Badland Games S.L.	Anima Project
Animal Gods	game	Still Games	Still Games
Animallica	game	CRIO Studios	CRIO Studios
Animated GIF Creator (Application)	game	Michael S. Scherotter	Michael S. Scherotter
Animation Throwdown: The Quest for Cards	game	Kongregate	Synapse Games
Anode	game	Kittehface Software	Kittehface Software
Anomaly 2	game	11 Bit Studios	11 Bit Studios
Anomaly: Warzone Earth	game	11 Bit Studios	11 Bit Studios
Anomie	game	Cascade of Leaves	Cascade of Leaves
Another World: 20th Anniversary	game	The Digital Lounge	Martial Hesse-Dreville
Anoxemia	game	Badland Games S.L.	BSK Games Co.
Antihero	game	Versus Evil	Tim Conkling
Antiquia Lost	game	Kemco	Kemco
Antisphere	game	Starbreeze Studios	Soap Interactive
Ape Escape 2	game	Sony Interactive Entertainment Inc.	Sony Interactive Entertainment Inc.
