node	category	Primary Publisher	Primary Developer
Call of Duty: Ghosts (Backwards Compatible)	game	Activision	Infinity Ward
Call of Duty: Infinite Warfare	game	Activision	Infinity Ward
Call of Duty: Modern Warfare: Remastered	game	Activision	Infinity Ward
Call of Duty: World at War	game	Activision	Treyarch Invention, LLC
Call of Juarez: Gunslinger	game	Ubisoft Entertainment SA (WW HQ)	Techland
Call of the Starseed: The Gallery: Episode 1	game	Cloudhead Games ltd.	Cloudhead Games ltd.
Calvino Noir	game	Calvino Noir Limited	Calvino Noir Limited
Canadian Football 2017	game	Canuck Play Inc.	Canuck Play Inc.
Candlelight	game	Pixel Maverick Games	Pixel Maverick Games
Candleman	game	E-Home Development Entertainment	E-Home Development Entertainment
Cannon Brawl	game	BlitWorks	Turtle Sandbox
Capsule Force	game	Iron Galaxy Studios LLC	Klobit
Captain Firebeard and the Bay of Crows	game	Sapphire Dragon Productions	Sapphire Dragon Productions
Captain vs Sky Pirates	game	Boogygames	Boogygames
Car Drift Duels: Roof Racing	game	Play With Games	Play With Games
Car Mechanic Simulator 2018	game	PlayWay SA	Red Dot Games
CarbonTV (Application)	game	Carbon Media Group	Carbon Media Group
Carcassonne	game	Microsoft Studios	Sierra Online, Inc.
Carmageddon: Max Damage	game	Stainless Games	Stainless Games
Carnival Games: VR	game	2K Games	Cat Daddy Games
Cars 2 [Disney Pixar]	game	Disney Interactive Studios	Avalanche Software
Cars 3: Driven to Win [Disney Pixar]	game	WB Games	Avalanche Software
Cart Racer	game	HFM Games	HFM Games
Cast of the Seven Godsends	game	Merge Games	Raven Travel Studios
Cast of the Seven Godsends: Redux	game	Merge Games	Raven Travel Studios
Castle Crashers: Remastered	game	Behemoth, The	Behemoth, The
Castle Invasion: Throne Out	game	Cat Trap Studios	Cat Trap Studios
Castle Must Be Mine	game	TheMiddleGray	TheMiddleGray
Castle of Shikigami	game	Degica	Cosmo Machia
CastleStorm	game	Zen Studios	Zen Studios
CastleStorm VR	game	Zen Studios	Zen Studios
CastleStorm: Definitive Edition	game	Zen Studios	Zen Studios
Castles	game	Badland Games S.L.	Whootgames
Castlevania: Symphony of the Night	game	Konami Corporation (WW)	Digital Eclipse Software
Cat Quest	game	PQube	The Gentlebros
Catherine	game	Atlus Co. Ltd.	Atlus Co. Ltd.
Catlateral Damage	game	Fire Hose Games	Fire Hose Games
Cats Tanks	game	oblomysh	oblomysh
Cave Story+	game	Nicalis, Inc.	Nicalis, Inc.
Caveblazers	game	Rupeck Games	Rupeck Games
Caveman Warriors	game	JanduSoft	JanduSoft
Cavern Crumblers	game	Asymptotic Games	Asymptotic Games
Cavernous Wastes	game	PouncingKitten Games	PouncingKitten Games
Cel Damage: HD	game	Finish Line Games	Finish Line Games
Cellz	game	MGP Studios	MGP Studios
Centipede	game	Atari Interactive Inc.	Stainless Games
Chain Man	game	ouka-ichi-mon.inc	ouka-ichi-mon.inc
Chambara	game	University of Southern California	Team Ok
Channel 9 (Application)	game	Microsoft	Microsoft
Chaos Code: New Sign of Catastrophe	game	Arc System Works	FK Digital
Chaos;Child	game	PQube	5pb. Inc.
Chariot	game	Frima Studio	Frima Studio
Charlie Murder	game	SKA Studios	SKA Studios
Cheerleader Champion Dance Off	game	Coco Entertainment International	Coco Entertainment International
Chess Ultra	game	Ripstone	Ripstone
Chevo Lurker: Exodus	game	Perverse Games	Perverse Games
Child of Light	game	Ubisoft Entertainment SA (WW HQ)	Ubisoft Montreal
Children of Zodiarcs	game	Square Enix Co., Ltd. (WW)	Cardboard Utopia
Chime Sharp	game	Chilled Mouse	Twistplay
Chimpology	game	themorfeus	themorfeus
Chip 'n Dale: Rescue Rangers	game	Capcom (WW HQ)	Capcom (WW HQ)
Chip 'n Dale: Rescue Rangers 2	game	Capcom (WW HQ)	Capcom (WW HQ)
Chivalry: Medieval Warfare	game	Activision	Torn Banner Studios
Christmastry 2	game	Hohng L.L.C.	Hohng L.L.C.
Chroma Squad	game	Behold Studios	Behold Studios
ChromaGun	game	Pixel Maniacs	Pixel Maniacs
Chromatic	game	MAJ Studio	Marc-Antoine Jacob
Chronicles of Teddy: Harmony of Exidus	game	Aksys Games	LookAtMyGame
CinemaNow (Application)	game	Reliance Majestic Holdings	Reliance Majestic Holdings
Circuit Breakers	game	Triverske	Triverske
Citadel: Forged with Fire	game	Blue Isle Studios Inc	Blue Isle Studios Inc
Cities: Skylines	game	Paradox Interactive	Colossal Order Ltd
Cities: Skylines: Xbox One Edition	game	Paradox Interactive	Colossal Order Ltd
Citizens of Earth	game	Atlus USA Inc.	Eden Industries
City Connection [Arcade Archives]	game	Hamster Corporation	Hamster Corporation
City Rush	game	Liam Swetnam	Liam Swetnam
Civil War: Bull Run 1861	game	HexWar	HexWar
Civilization VI [Sid Meier's]	game	2K	Firaxis Games
Civilization: Revolution [Sid Meier's]	game	2K Games	Firaxis Games
Cladun Returns: This is Sengoku!	game	NIS America	Nippon Ichi Software, Inc.
Claire: Extended Cut	game	Hailstorm Games	Hailstorm Games
Clash	game	FennecFox Entertainment	FennecFox Entertainment
Clear Launch (Application)	game	Clear Launch	Clear Launch
Clicker Heroes	game	Playsaurus	Playsaurus
Climbey	game	ShadowBrain	Brian Lindenhof
Clockwork Tales: Of Glass and Ink	game	Artifex Mundi	Artifex Mundi
Cloud Media Player (Application)	game	Enarmedia	Enarmedia
CloudCity VR	game	Floating Point Interactive	Floating Point Interactive
Cloudlands: VR Minigolf	game	Futuretown	Futuretown
Clouds & Sheep 2	game	Headup Games	Handy Games
ClusterPuck 99	game	PHL Collective	PHL Collective
Clustertruck	game	tinyBuildGames	LandFall Games
Cobalt	game	Mojang AB	Oxeye Game Studio
Cobra Triangle	game	Microsoft Studios	Rare
Code 7	game	Goodwolf Studio	Goodwolf Studio
Coffin Dodgers	game	Wales Interactive Ltd.	Milky Tea
Cold Waters	game	Killerfish Games	Killerfish Games
Colony Survival	game	Pipliz	Pipliz
Color Guardians	game	Niffler Ltd	Fair Play Labs
Color Jumper	game	Tallbeard Studios	Tallbeard Studios
Color Symphony 2	game	Remimory	Remimory
Color Zen	game	Cypronia	Cypronia
Colorless Life	game	Hipix Studio	Hipix Studio
Comedy Central (Application)	game	Viacom Inc.	Viacom Inc.
Comet Crash 2: The Kronkoid Wars	game	Pelfast	Pelfast
Comic Jumper: The Adventures of Captain Smiley	game	Twisted Pixel	Twisted Pixel
Coming Out on Top	game	Obscurasoft	Obscurasoft
Comix Zone	game	Sega Corporation (WW)	Backbone Entertainment
Commander Cherry's Puzzled Journey	game	Grandé Games	Grandé Games
Commanders: Attack of the Genos	game	Sierra Online, Inc.	SouthEnd Interactive
Commando	game	Capcom (WW HQ)	Capcom (WW HQ)
Community Calendar (Application)	game	Microsoft	Microsoft
Conan Exiles	game	Funcom USA	Funcom USA
Conarium	game	Iceberg Interactive	Zoetrope Interactive
Concurrency	game	Restful Panic	Restful Panic
Condemned: Criminal Origins	game	Sega Corporation (WW)	Monolith Productions
Confess My Love	game	LR Studio	LR Studio
Conga Master	game	Rising Star Games	Undercoders
Conga Master: Party!	game	Rising Star Games	Undercoders
Conker's Bad Fur Day	game	Microsoft	Rare
Constructor (2017)	game	System 3	System 3
Contra	game	Konami Corporation (WW)	Digital Eclipse Software
Contra [Arcade Archives]	game	Hamster Corporation	Konami Corporation (WW)
Contrast	game	Focus Home Interactive	Compulsion Games
Convert: Celsius to Farenheit (Application)	game	Quantum X	Quantum X
Cook, Serve, Delicious! 2!!	game	Vertigo Gaming	Vertigo Gaming
Cooking Witch	game	VaragtP	VaragtP
Corridor Z	game	Mass Creation Sp. z o. o.	Mass Creation Sp. z o. o.
Corroded	game	Encircle Games	Encircle Games
Cosmic Kites	game	Fishmoose Interactive	Fishmoose Interactive
Cosmic Star Heroine	game	Zeboyd Games	Zeboyd Games
Cosmic Trip	game	Funktronic Labs	Funktronic Labs
Cosmo Police Galivan [Arcade Archives]	game	Hamster Corporation	Nippon Ichi Software, Inc.
Cosmophony	game	Moving Player	Bento-Studio
Costume Quest 2	game	Midnight City	Double Fine
Count Lucanor	game	Merge Games	Baroque Decay
CounterSpy	game	Sony Interactive Entertainment Worldwide Studios	Dynamighty
Cowboy Revenge	game	Bogdan	Bogdan
Crackle (Application)	game	Crackle	Crackle
Crafting Dead	game	Ferullo Gaming	Ferullo Gaming
Crankies Workshop: Freebot Assembly	game	VT Publishing	Crankies Smartworks
Crash Bandicoot (2017)	game	Activision	Vicarious Visions
Crash Bandicoot 2: Cortex Strikes Back (2017)	game	Activision	Vicarious Visions
Crash Bandicoot: Warped (2017)	game	Activision	Vicarious Visions
Crash Course [Doritos]	game	Microsoft Studios	Wanako Games
Crash Force	game	Ascanio Entertainment	Ascanio Entertainment
Crawl	game	Powerhoof	Powerhoof
Crawlspace: The Mansion	game	EvolVR Games	Project Whitecard Studios Inc.
Crazy Climber 2 [Arcade Archives]	game	Hamster Corporation	Nichibutsu
Crazy Climber [Arcade Archives]	game	Hamster Corporation	Nichibutsu
Crazy Fishing	game	Ruby Wings	Offpeak Games
Crazy Strike Bowling: EX	game	Corecell Technology Co., Ltd.	Corecell Technology Co., Ltd.
Crazy Taxi	game	Sega Corporation (WW)	Sega AM3
Crimes & Punishments: Sherlock Holmes	game	Focus Home Interactive	Frogwares Game Development Studio
Crimson Dragon	game	Microsoft Studios	Grounding Inc
Crimsonland	game	10tons Ltd	10tons Ltd
Croixleur Sigma	game	Nyu Media	Souvenir Circ.
Crossout	game	Gaijin Entertainment Corporation	Targem Games
Crowman & Wolfboy	game	Wither Studios	Wither Studios
CrownFall	game	Psychoflux Entertainment	LegendaryTaler
Crunchyroll (Application)	game	Crunchyroll	Crunchyroll
Crush (VIS-Games)	game	SilentFuture	VIS Games
Crypt of the NecroDancer	game	Brace Yourself Games	Brace Yourself Games
Crypt of the Serpent King	game	Rendercode Games	Rendercode Games
Cryptark	game	Alientrap	Alientrap
Crystal City: Stop The Earth I'm Getting Off!	game	Dagestan Technology	7DOTS
Crystal Defenders	game	Square Enix Co., Ltd. (WW)	Square Enix Co., Ltd. (WW)
Crystal Quest	game	Stainless Games	Stainless Games
Crystal Rift	game	Psytec Games Ltd	Psytec Games Ltd
Cubikolor	game	Moving Player	Moving Player
Cubot: The Complexity of Simplicity	game	Nicolas Pierre-Loti-Viaud	Nicoplv Games
Cuphead	game	Studio MDHR	Studio MDHR
Curse of the Great Forest	game	Cool Breeze Games	Cool Breeze Games
Cursed Castilla (Maldita Castilla EX)	game	Abylight	Locomalito
Curses 'N Chaos	game	Tribute Games	Tribute Games
Cyber Complex	game	Polarity Flow	Polarity Flow
Cybercube	game	Just 1337 Studio	Just 1337 Studio
Cyberdimension Neptunia: 4 Goddesses Online	game	Idea Factory International, Inc.	Idea Factory
Cyberhunt	game	Nukgames	Nukgames
Cybermotion	game	Lukayson	Lukayson
Cybertroopers: Virtual-On: Oratorio Tangram	game	Sega Corporation (WW)	Sega Corporation (WW)
D/Generation: HD	game	West Coast Software	West Coast Software
D4: Dark Dreams Don't Die	game	Microsoft Studios	Access Games
DC Universe Online	game	Daybreak Game Company	Daybreak Game Company
DEXED	game	Ninja Theory	Ninja Theory
DWVR	game	Mad Triangles	Mad Triangles
Dabda	game	BitQBit	BitQBit
Dad Beat Dads	game	Stellar Jay Studios	Stellar Jay Studios
Dailymotion (Application)	game	Dailymotion	Dailymotion
Dal Segno	game	MangaGamer	Circus
Damascus Gear: Operation Tokyo: HD Edition	game	Arc System Works	Arc System Works
Damascus Gear: Operation Tokyo: HD Edtion	game	Arc System Works	APlus Co., Ltd
Dance Central: Spotlight	game	Microsoft Studios	Harmonix
DanganRonpa: Trigger Happy Havoc	game	Spike Chunsoft Co., Ltd.	Spike Chunsoft Co., Ltd.
Danganronpa 2: Goodbye Despair	game	Spike Chunsoft Co., Ltd.	Spike Chunsoft Co., Ltd.
Danganronpa V3: Killing Harmony	game	Spike Chunsoft Co., Ltd.	Spike Chunsoft Co., Ltd.
Danger Zone	game	Three Fields Entertainment	Three Fields Entertainment
Dangerous Golf	game	Three Fields Entertainment	Three Fields Entertainment
Dangerous Hunts 2013 [Cabela's]	game	Activision	Cauldron
Dariusburst: Chronicle Saviours	game	Degica	Chara-Ani
Dark Arcana: The Carnival	game	Artifex Mundi	Artifex Mundi
Dark Cloud	game	Sony Interactive Entertainment Worldwide Studios	Level-5 Inc.
Dark Cloud 2	game	Sony Interactive Entertainment Worldwide Studios	Level-5 Inc.
Dark Elf	game	SakuraGame	ONEONE1
Dark Empire	game	Jan Company	Jan Company
Dark Mystery	game	Yash Future Tech Solutions	Yash Future Tech Solutions
Dark Rising	game	Clear Light Games	Clear Light Games
Dark Rose Valkyrie	game	Idea Factory International, Inc.	Idea Factory
Dark Souls	game	Bandai Namco Entertainment Inc. (WW)	From Software
Dark Souls II: Scholar of the First Sin	game	Bandai Namco Entertainment Inc. (WW)	From Software
Dark Souls III	game	Bandai Namco Entertainment Inc. (WW)	From Software
Dark Void	game	Capcom (WW HQ)	Airtight Games
Dark Witch Music: Episode: Rudymical	game	Flyhigh Works	Inside System
Dark Witch Story: Combat	game	Inside System	Inside System
DarkMaze	game	Chongqing Yan Wan network technology Co. Ltd.	Chongqing Yan Wan network technology Co. Ltd.
Darkest Dungeon	game	Red Hook Studios	Red Hook Studios
Darknet	game	E McNeill	E McNeill
Darksiders	game	THQ	Vigil Games
Darksiders II: Deathinitive Edition	game	THQ Nordic	Vigil Games
Darksiders: Warmastered Edition	game	THQ Nordic	Vigil Games
Darkwing Duck	game	Capcom (WW HQ)	Capcom (WW HQ)
Darkwood	game	Acid Wizard Studio	Acid Wizard Studio
Dawn of War III [Warhammer 40,000]	game	Sega Corporation (WW)	Relic Entertainment
Day D: Tower Rush	game	8Floor Ltd	Creobit
Day of Infamy	game	New World Interactive	New World Interactive
Day of the Tentacle Remastered	game	Double Fine Production	Double Fine Production
Day of the Tentacle: Remastered	game	Double Fine	Double Fine
Daydreamer	game	Roland Studios	Roland Studios
Daydreamer: Awakened Edition	game	Atlus Co. Ltd.	Roland Studios
Daylight	game	Zombie Studios	Zombie Studios
Daytona USA HD	game	Sega Corporation (WW)	Sega AM2 R&D Division
De Blob 2	game	THQ Nordic	Blue Tongue
De Mambo	game	The Dangerous Kitchen	The Dangerous Kitchen
Dead Alliance	game	Maximum Games	Psyop
Dead Cells	game	Motion Twin	Motion Twin
Dead Effect 2	game	BadFly Interactive	BadFly Interactive
Dead Effect 2 VR	game	BadFly Interactive	BadFly Interactive
Dead Hungry	game	Q-Games	Q-Games
Dead Island: Definitive Edition	game	Deep Silver Inc.	Techland
Dead Island: Retro Revenge	game	Deep Silver Inc.	Techland
Dead Island: Riptide: Definitive Edition	game	Deep Silver Inc.	Techland
Dead Nation: Apocalypse Edition	game	Sony Interactive Entertainment Worldwide Studios	Housemarque Inc.
Dead Rising	game	Capcom (WW HQ)	Capcom (WW HQ)
Dead Rising 2	game	Capcom (WW HQ)	Capcom (WW HQ)
Dead Rising 2: Case West	game	Capcom (WW HQ)	Capcom Games Studio Vancouver
Dead Rising 2: Case Zero	game	Capcom (WW HQ)	Capcom (WW HQ)
Dead Rising 2: Off the Record	game	Capcom (WW HQ)	Capcom (WW HQ)
Dead Rising 3	game	Microsoft Studios	Capcom Games Studio Vancouver
Dead Rising 4	game	Microsoft Studios	Capcom Games Studio Vancouver
Dead Space	game	Electronic Arts, Inc. (HQ)	Visceral Games
Dead Space 2	game	Electronic Arts, Inc. (HQ)	Visceral Games
Dead Space 3	game	Electronic Arts, Inc. (HQ)	Visceral Games
Dead Space: Ignition	game	Electronic Arts, Inc. (HQ)	Sumo Digital Ltd.
Dead Star	game	Armature Studios	Armature Studios
Dead Synchronicity: Tomorrow Comes Today	game	Daedalic Entertainment GmbH	Fictiorama Studios
Dead by Daylight	game	Starbreeze Studios	Behaviour Digital Inc.
Dead or Alive 5: Last Round	game	Koei Tecmo Games	Team Ninja
Dead or Alive 5: Last Round: Core Fighters	game	Koei Tecmo America Corporation	Team Ninja
DeadCore	game	Grip Digital, s.r.o.	5 Bits Games
Deadbeat Heroes	game	Square Enix Ltd.	Deadbeat Productions
Deadbolt	game	Hopoo Games	Hopoo Games
Deadhold	game	Dark Quarry Games	Dark Quarry Games
Deadliest Warrior: Legends	game	345 Games	Pipeworks Software
Deadlight: Director's Cut	game	Deep Silver Inc.	Tequila Works, S.L.
Deadly Metal	game	Dagestan Technology	High and Wide
Deadpool	game	Activision	High Moon Studios
Dear Esther: Landmark Edition	game	thechineseroom	thechineseroom
Death God University	game	DSK Green Ice Games	DSK Green Ice Games
Death Point	game	Andiks	Andiks
Death Squared	game	SMG Studio	SMG Studio
DeathSpank: Thongs of Virtue	game	Electronic Arts, Inc. (HQ)	Hothead Games
Deaths Maze	game	Kev Jackson	Kev Jackson
Deathstate	game	Workinman Interactive, LLC.	Workinman Interactive, LLC.
Deathwatch [Warhammer 40,000]	game	Hoplite Research	Hoplite Research
Deathwatch: Enhanced Edition [Warhammer 40,000]	game	Rodeo Games	Rodeo Games
Decay: The Mare	game	Shining Gate Software	Shining Gate Software
Deceit	game	automaton	automaton
Deception IV: The Nightmare Princess	game	Koei Tecmo Games	Koei Tecmo Games
Decisive Battle Pacific	game	YOTO INFINITE NETWORK TECHNOLOGY CO.LTD.	AOK GAME
Deemo	game	Flyhigh Works	Rayark Inc.
Deep Ones	game	BURP! Games	BURP! Games
Deep Space Waifu	game	Hammerfist Studios	Neko Climax Studios
Deer Hunter: Reloaded	game	GameMill	GameMill
Deer Simulator	game	PSR Outdoors	PSR Outdoors
Defective	game	Evil Games	Evil Games
Defend Your Castle	game	Xgen Studios	Xgen Studios
Defend Your Kingdom	game	Burning Pick Entertainment	Burning Pick Entertainment
Defenders of Ekron	game	In Vitro Games	In Vitro Games
Defense Grid 2	game	Hidden Path Entertainment	Hidden Path Entertainment
Deformers	game	GameTrust Games	Ready at Dawn
Deisim	game	Myron Software	Myron Software
Deja Vu	game	Abstraction Games	Abstraction Games
Deja Vu II: Lost in Las Vegas [MacVenture Series]	game	Reverb Triple XP	Zojoi
Deja Vu: A Nightmare Comes True [MacVenture Series]	game	Reverb Triple XP	Zojoi
Deliriant	game	Manic Interactive LLC	Manic Interactive LLC
Delphinia Chronicle	game	Digital Cookie Co.	Digital Cookie Co.
Deltaplan Simulator	game	starmops	starmops
Demetrios: The Big Cynical Adventure	game	COWCAT	COWCAT
Demon Peak	game	Kajak Games	Kajak Games
Demon's Crystals	game	Badland Games S.L.	StarCruiser Studio
Deponia	game	Daedalic Entertainment GmbH	Daedalic Entertainment GmbH
Derelict Fleet	game	Triskelia Games	Triskelia Games
Destination Ares	game	Patrick Scott	Patrick Scott
Destiny	game	Activision	Bungie Studios
Destiny 2	game	Activision	Bungie Studios
Destiny: Rise of Iron	game	Activision	Bungie Studios
Destiny: The Taken King	game	Activision	Bungie Studios
Destroy All Humans!	game	THQ Nordic	Pandemic Studios
Destroy All Humans! 2	game	THQ Nordic	Pandemic Studios
Destruction 48	game	Vyacheslav Shilikhin	Vyacheslav Shilikhin
Detached	game	Anshar Studios	Anshar Studios
Detention	game	Coconut Island Studio	RedCandleGames
Detrita Battlegrounds	game	Guy Bits Games	Guy Bits Games
Deus Ex: Human Revolution	game	Square Enix Co., Ltd. (WW)	Eidos Montreal
Deus Ex: Mankind Divided	game	Square Enix Co., Ltd. (WW)	Eidos Montreal
Deus Vult: Online VR Sword Fighitng	game	Raptor lab	Raptor lab
Dev Mode Activation (Application)	game	Microsoft	Microsoft
Devil May Cry 4: Special Edition	game	Capcom (WW HQ)	Capcom (WW HQ)
Dex	game	Dreadlocks Ltd	Dreadlocks Ltd
Dexed	game	Ninja Theory	Ninja Theory
DiRT 3	game	Codemasters Software Company Limited	Codemasters Software Company Limited
DiRT 4	game	Deep Silver Inc.	Codemasters Software Company Limited
DiRT Rally	game	Deep Silver Inc.	Codemasters Software Company Limited
DiRT: Showdown	game	Codemasters Software Company Limited	Codemasters Software Company Limited
Diablo III	game	Blizzard Entertainment	Blizzard Entertainment
Diablo III: Reaper of Souls	game	Blizzard Entertainment	Blizzard Entertainment
Diamo XL	game	Nickervision Studios	Nickervision Studios
DiamondFalls	game	GraphXGames	GraphXGames
Dick Wilde	game	PlayStack	PlayStack
Die Young	game	IndieGala	IndieGala
Dies Irae: Amantes Amentes	game	views Co.	light
Dig Dug	game	Namco	Namco
Dig Dug [Arcade Game Series]	game	Bandai Namco Entertainment Inc. (WW)	Bandai Namco Entertainment Inc. (WW)
Digger T. Rock	game	Microsoft Studios	Rare
Digimon Masters Online	game	Move Games	Move Games
Digimon Story: Cyber Sleuth	game	Bandai Namco Entertainment Inc. (WW)	Media Vision
Digimon World: Next Order	game	Bandai Namco Entertainment Inc. (WW)	B.B. Studio
Dino Frontier	game	Uber Entertainment	Uber Entertainment
DirecTV NFL Sunday Ticket (Application)	game	DIRECTV	DIRECTV
Disc Jam	game	High Horse Entertainment	High Horse Entertainment
Disco Destruction	game	Subjective	Subjective
Discover Languages (Application)	game	Rosetta Stone	Rosetta Stone
Discs of Tron	game	Disney Interactive Studios	Backbone Entertainment
Disgaea 5: Alliance of Vengeance	game	NIS America	NIS (Nippon Ichi Software)
Disgaea 5: Complete	game	NIS America	Nippon Ichi Software, Inc.
Dishonored 2	game	Bethesda Softworks	Arkane Studios (WW HQ)
Dishonored: Death of the Outsider	game	Bethesda Softworks	Arkane Studios (WW HQ)
Dishonored: Definitive Edition	game	Bethesda Softworks	Arkane Studios (WW HQ)
Disney Infinity 2.0 Edition	game	Disney Interactive Studios	Avalanche Software
Disney Infinity 3.0 Edition	game	Disney Interactive Studios	Avalanche Software
Disneyland Adventures	game	Disney Interactive Studios	Frontier Developments
Disputed Space	game	ShilohGames	ShilohGames
Divekick	game	Iron Galaxy Studios LLC	Iron Galaxy Studios LLC
Divekick: Addition Edition +	game	Iron Galaxy Studios LLC	Iron Galaxy Studios LLC
Divide	game	Exploding Tuba	Exploding Tuba
Diving Trunks	game	Lunacy Interactive	Lunacy Interactive
Divinity: Original Sin 2	game	Larian Studios	Larian Studios
Divinity: Original Sin: Enhanced Edition	game	Larian Studios	Larian Studios
DmC: Devil May Cry: Definitive Edition	game	Capcom (WW HQ)	Ninja Theory
Docs for PlayStation (Application)	game	Sony Interactive Entertainment Worldwide Studios	Sony Interactive Entertainment Worldwide Studios
Dogchild	game	Animatoon Studio	Animatoon Studio
Dogcoin	game	Primitive	Primitive
Dogo	game	Pixel Barons	Pixel Barons
Dogos	game	Internet URL S.A.	OPQAM
Doki Doki Literature Club!	game	Team Salvato	Team Salvato
Doki-Doki Universe	game	HumaNature Studios, Inc.	HumaNature Studios, Inc.
Don Bradman Cricket	game	Tru Blu Entertainment	Big Ant Studios
Don Bradman Cricket 14	game	Alternative Software	Big Ant Studios
Don Bradman Cricket 17	game	Home Entertainment Suppliers	Big Ant Studios
Don't Die, Mr. Robot!	game	Infinite State Games	Infinite State Games
Don't Knock Twice	game	Wales Interactive Ltd.	Wales Interactive Ltd.
Don't Make Love	game	Maggese	Maggese
Don't Starve	game	Klei Entertainment	Klei Entertainment
Don't Starve Together	game	Klei Entertainment	Klei Entertainment
Don't Starve Together: Console Edition	game	Klei Entertainment	Klei Entertainment
Don't Starve: Giant Edition	game	Klei Entertainment	Klei Entertainment
Doodle Devil	game	8Floor Ltd	8Floor Ltd
Doodle God	game	8Floor Ltd	8Floor Ltd
Doodle God: Ultimate Edition	game	JoyBits Co. Ltd.	JoyBits Co. Ltd.
Doodle Kingdom	game	JoyBits Co. Ltd.	JoyBits Co. Ltd.
Doom	game	Bethesda Softworks	id Software
Doom II	game	Bethesda Softworks	id Software
Dormant World	game	XENOpz	XENOpz
Double Dragon	game	DotEmu	DotEmu
Double Dragon II: The Revenge	game	DotEmu	DotEmu
Double Dragon II: The Revenge [Arcade Archives]	game	Hamster Corporation	Arc System Works
Double Dragon IV	game	Arc System Works	Arc System Works
Double Dragon [Arcade Archives]	game	Hamster Corporation	Technos Japan
Double Dragon: Neon	game	Majesco Entertainment	WayForward Technologies, Inc.
Downwell	game	Devolver Digital	Moppin
Dragon Age: Inquisition	game	Electronic Arts, Inc. (HQ)	BioWare
Dragon Age: Origins	game	Electronic Arts, Inc. (HQ)	BioWare
Dragon Bros	game	Space Lizard Studio LTD	Space Lizard Studio LTD
Dragon Fantasy: The Black Tome of Ice	game	Muteki Corporation	Muteki Corporation
Dragon Fin Soup	game	Grimm Bros LLC	Grimm Bros LLC
Dragon Quest Builders	game	Square Enix Co., Ltd. (WW)	Square Enix Co., Ltd. (WW)
Dragon Quest Heroes II	game	Square Enix Co., Ltd. (WW)	Omega Force
Dragon Quest Heroes: The World Tree's Woe and the Blight Below	game	Square Enix Co., Ltd. (WW)	Omega Force
Dragon's Dogma: Dark Arisen	game	Capcom (WW HQ)	Capcom (WW HQ)
Dragon's Lair [Don Bluth Presents]	game	Microsoft Studios	Digital Leisure
Dragonball: Xenoverse	game	Bandai Namco Entertainment Inc. (WW)	Dimps
Dragonball: Xenoverse 2	game	Bandai Namco Entertainment Inc. (WW)	Dimps
Dragonia	game	SakuraGame	SakuraGame
DramaFever (Application)	game	DramaFever	DramaFever
Draw a Stickman: EPIC	game	Hitcents	Hitcents
Drawfighters	game	WildBit Studios S.L.	WildBit Studios S.L.
Drawful 2	game	Jackbox Games	Jackbox Games
Drawn to Death	game	Sony Interactive Entertainment Inc.	The Bartlet Jones Supernatural Detective Agency
Dreadful	game	Green Eye Games	Green Eye Games
Dreadhalls	game	White Door Games	White Door Games
Dreadnought	game	GreyBox	Yager Development
Dream Coaster VR (Application)	game	Forever Entertainment S.A.	VR Visio
Dream Daddy: A Dad Dating Simulator	game	Game Grumps	Game Grumps
DreamBreak	game	Digerati Distribution & Marketing	Aist
Dreamals	game	XINESS Co., Ltd	XINESS Co., Ltd
Dreamals: Dream Quest	game	XINESS Co., Ltd	XINESS Co., Ltd
Dreamblaster	game	Odamir Khaulepi	Odamir Khaulepi
Dreamfall: Chapters	game	Red Thread Games AS	Red Thread Games AS
Dreii	game	Etter Studio	Etter Studio
Drifting Lands	game	Alkemi Games	Alkemi Games
Drive Drive Drive	game	Choice Provisions	Choice Provisions
Drive Isle	game	Roadfactory	Roadfactory
DriveClub	game	Sony Interactive Entertainment Worldwide Studios	Evolution Studios Ltd.
DriveClub VR	game	Sony Interactive Entertainment Inc.	Evolution Studios Ltd.
DriveClub: Bikes	game	Sony Interactive Entertainment Worldwide Studios	Evolution Studios Ltd.
Drone Racer: Canyons	game	RedForce Games	RedForce Games
Drunkn Bar Fight	game	The Munky	The Munky
Ducati: 90th Anniversary	game	Milestone s.r.l.	Milestone s.r.l.
Duck Dynasty	game	Activision	FUN labs
Duck Game	game	[adult swim] games	Landon Podbielski
Duck Season	game	Stress Level Zero	Stress Level Zero
DuckTales	game	Capcom (WW HQ)	Capcom (WW HQ)
DuckTales 2	game	Capcom (WW HQ)	Capcom (WW HQ)
DuckTales: Remastered [Disney]	game	Capcom (WW HQ)	WayForward Technologies, Inc.
Duel of Summoners: The Mabinogi Trading Card Game	game	Nexon America Inc.	Nexon Corporation
Duelyst	game	Counterplay Games Inc.	Counterplay Games Inc.
Dujanah	game	J. King-Spooner	J. King-Spooner
Duke Nukem 3D: 20th Anniversary World Tour	game	Gearbox Software	Gearbox Software
Duke Nukem: Manhattan Project	game	Apogee Software	Sunstorm Interactive
Dungeon Defenders II	game	Trendy Entertainment	Trendy Entertainment
Dungeon Marathon	game	Retro Army Ltd	Retro Army Ltd
Dungeon Punks	game	Hyper Awesome Entertainment	Hyper Awesome Entertainment
Dungeon Siege III	game	Square Enix Co., Ltd. (WW)	Obsidian Entertainment
Dungeon of the Endless	game	Amplitude Studios	Amplitude Studios
